ITEM,PICTURE,NAME1,H_INDEX,PERCENTAGE_MODAL_NAME,VISUAL_COMPLEXITY,SUBTLEX,lgSUBTLEX,Google00pm,lgGoogle00
1,PICTURE_1,maus,0.0,100.0,3.02,10.91,2.444,11.17323,4.83
2,PICTURE_2,reifen,1.163235101,69.6969697,2.67,15.75,2.603,7.10619,4.633
3,PICTURE_3,treppenstufe,1.426662781,46.46464646,1.89,,,,
4,PICTURE_4,altar,0.968778287,77.31958763,3.4,7.56,2.286,5.93453,4.555
5,PICTURE_5,schulter,0.86235472,82.9787234,2.01,22.52,2.758,12.59959,4.882
6,PICTURE_6,kinn,0.445050304,92.78350515,1.95,5.71,2.164,3.17998,4.284
7,PICTURE_7,fee,0.14372617,97.95918367,3.12,5.47,2.146,2.52316,4.184
8,PICTURE_8,bein,0.448864489,90.625,2.3,50.91,3.112,12.53182,4.88
9,PICTURE_9,dusche,0.468995594,90.0,3.04,19.21,2.689,2.35672,4.154
10,PICTURE_10,steak,1.801499077,61.42857143,2.98,9.92,2.403,0.36709,3.347
11,PICTURE_11,burger,1.076297626,70.0,3.22,9.41,2.38,3.86341,4.369
12,PICTURE_12,meerjungfrau,0.371232327,92.85714286,2.93,1.73,1.653,0.14594,2.946
13,PICTURE_13,bein,1.77739408,41.93548387,2.52,50.91,3.112,12.53182,4.88
14,PICTURE_14,bademantel,0.687251475,86.86868687,2.59,2.91,1.875,0.43716,3.423
15,PICTURE_15,loewe,0.0,100.0,3.31,5.51,2.149,3.30741,4.301
16,PICTURE_16,jaeger,0.512753111,90.81632653,3.61,15.12,2.585,11.51221,4.843
17,PICTURE_17,teufel,0.0,100.0,3.04,266.39,3.83,12.86883,4.891
18,PICTURE_18,saturn,1.116355634,54.73684211,2.29,1.65,1.633,1.9022,4.061
19,PICTURE_19,truthahn,1.22262028,78.35051546,3.98,8.11,2.316,0.21172,3.108
20,PICTURE_20,skelett,0.0,100.0,3.24,3.19,1.914,2.07013,4.098
21,PICTURE_21,boxer,0.0,100.0,3.0,7.76,2.297,1.44421,3.941
22,PICTURE_22,zeltlager,2.471095285,28.0,3.26,0.47,1.114,0.40345,3.388
23,PICTURE_23,fahrrad,0.334944487,95.0,3.21,13.62,2.54,6.53829,4.597
24,PICTURE_24,knochen,0.0,100.0,1.21,34.37,2.942,12.60355,4.882
25,PICTURE_25,leopard,1.275245112,71.875,3.55,1.89,1.69,0.57021,3.538
26,PICTURE_26,zwiebel,0.0,100.0,2.86,1.54,1.602,0.953,3.761
27,PICTURE_27,gefangener,2.310724597,46.875,2.96,9.37,2.378,2.12417,4.109
28,PICTURE_28,mikroskop,0.292929951,94.84536082,3.56,1.34,1.544,1.45429,3.944
29,PICTURE_29,cowboy,0.203905876,96.80851064,3.36,13.19,2.526,0.59203,3.554
30,PICTURE_30,bauernhof,1.054917449,70.21276596,4.18,2.28,1.771,2.15591,4.115
31,PICTURE_31,bergarbeiter,2.755022681,39.28571429,3.51,0.63,1.23,1.19365,3.859
32,PICTURE_32,krone,0.0,100.0,3.52,9.06,2.364,12.23068,4.869
33,PICTURE_33,bilderrahmen,1.533320262,41.93548387,2.26,0.59,1.204,0.26511,3.205
34,PICTURE_34,cupcake,2.514957192,34.40860215,2.38,,,,
35,PICTURE_35,ohr,0.194391858,97.0,2.35,29.84,2.88,13.20269,4.902
36,PICTURE_36,kaefer,1.527833823,70.52631579,2.99,8.31,2.326,1.81229,4.04
37,PICTURE_37,donut,0.391569417,93.81443299,2.23,3.62,1.968,0.03851,2.369
38,PICTURE_38,spinne,0.0,100.0,2.34,7.72,2.294,1.37694,3.921
